id,label,type
黨,黨,어휘
曉,曉,어휘
哲,哲,어휘
知,知,어휘
虔,虔,어휘
儇,儇,어휘
慧,慧,어휘
謾,謾,어휘
㦟,㦟,어휘
倢,倢,어휘
䜏,䜏,어휘
黠,黠,어휘
鬼,鬼,어휘
娥,娥,어휘
㜲,㜲,어휘
好,好,어휘
娥2,娥2,어휘
媌,媌,어휘
姣,姣,어휘
姝,姝,어휘
妦,妦,어휘
妍,妍,어휘
烈,烈,어휘
枿,枿,어휘
餘,餘,어휘
肄,肄,어휘
台,台,어휘
養,養,어휘
鞠,鞠,어휘
陶,陶,어휘
胎,胎,어휘
艾,艾,어휘
憮,憮,어휘
㤿,㤿,어휘
憐,憐,어휘
牟,牟,어휘
愛,愛,어휘
憐2,憐2,어휘
㥄,㥄,어휘
憮2,憮2,어휘
矜,矜,어휘
悼,悼,어휘
憐3,憐3,어휘
哀,哀,어휘
咺,咺,어휘
唏,唏,어휘
唴,唴,어휘
唴哴,唴哴,어휘
噭咷,噭咷,어휘
喑,喑,어휘
惄,惄,어휘
怛,怛,어휘
痛,痛,어휘
悼,悼,어휘
惄,惄,어휘
悴,悴,어휘
憖,憖,어휘
傷,傷,어휘
慎,慎,어휘
濟,濟,어휘
䁮,䁮,어휘
䁮,䁮,어휘
惄,惄,어휘
溼,溼,어휘
桓,桓,어휘
憂,憂,어휘
鬱悠,鬱悠,어휘
懷,懷,어휘
惄,惄,어휘
惟,惟,어휘
慮,慮,어휘
願,願,어휘
念,念,어휘
靖,靖,어휘
慎,慎,어휘
思,思,어휘
敦,敦,어휘
豐,豐,어휘
厖,厖,어휘
��,𡗦,어휘
憮,憮,어휘
般,般,어휘
嘏,嘏,어휘
嘏(夏),嘏(夏),어휘
奕,奕,어휘
戎,戎,어휘
京,京,어휘
奘(壯),奘(壯),어휘
將,將,어휘
大,大,어휘
假,假,어휘
��,𢓜,어휘
懷,懷,어휘
摧,摧,어휘
詹,詹,어휘
戾,戾,어휘
艐,艐,어휘
至,至,어휘
嫁,嫁,어휘
逝,逝,어휘
徂,徂,어휘
適,適,어휘
往,往,어휘
"	
謾台","	
謾台",어휘
脅鬩,脅鬩,어휘
脅鬩2,脅鬩2,어휘
嘽咺,嘽咺,어휘
懼,懼,어휘
虔,虔,어휘
劉,劉,어휘
慘,慘,어휘
㨆,㨆,어휘
殺,殺,어휘
亟,亟,어휘
眉,眉,어휘
棃,棃,어휘
耋,耋,어휘
鮐,鮐,어휘
老,老,어휘
脩,脩,어휘
駿,駿,어휘
融,融,어휘
繹,繹,어휘
尋,尋,어휘
尋2,尋2,어휘
延,延,어휘
永,永,어휘
長,長,어휘
允,允,어휘
訦,訦,어휘
恂,恂,어휘
展,展,어휘
諒,諒,어휘
穆,穆,어휘
信,信,어휘
碩,碩,어휘
沈,沈,어휘
巨,巨,어휘
濯,濯,어휘
訏,訏,어휘
敦,敦,어휘
夏,夏,어휘
于,于,어휘
大,大,어휘
寇,寇,어휘
夥,夥,어휘
��,𨘌,어휘
僉,僉,어휘
弩,弩,어휘
暇,暇,어휘
郴,郴,어휘
牴,牴,어휘
��,𠊷,어휘
會,會,어휘
華,華,어휘
荂,荂,어휘
晠,晠,어휘
墳,墳,어휘
廓,廓,어휘
摸,摸,어휘
嬛,嬛,어휘
蟬,蟬,어휘
䌪,䌪,어휘
撚,撚,어휘
未,未,어휘
續,續,어휘
蟬2,蟬2,어휘
未2,未2,어휘
��,𨃚,어휘
䠛,䠛,어휘
��,𧿳,어휘
䟷,䟷,어휘
蹠,蹠,어휘
跳,跳,어휘
跳2,跳2,어휘
躡,躡,어휘
郅,郅,어휘
跂,跂,어휘
��,𢓜,어휘
躋,躋,어휘
䠯,䠯,어휘
登,登,어휘
逢,逢,어휘
逆,逆,어휘
迎,迎,어휘
撏,撏,어휘
攓,攓,어휘
摭,摭,어휘
挻,挻,어휘
取,取,어휘
��,𥶉,어휘
餥,餥,어휘
飵,飵,어휘
食,食,어휘
䬯,䬯,어휘
飵,飵,어휘
䭡䭓,䭡䭓,어휘
釗,釗,어휘
薄,薄,어휘
勉,勉,어휘
薄努,薄努,어휘
勔釗,勔釗,어휘
勗茲,勗茲,어휘
楚,楚,지역
齊,齊,지역
宋,宋,지역
中央,中央,지역
秦,秦,지역
晉,晉,지역
趙,趙,지역
魏,魏,지역
河濟,河濟,지역
燕,燕,지역
代,代,지역
衛,衛,지역
陳,陳,지역
鄭,鄭,지역
韓,韓,지역
汝,汝,지역
潁,潁,지역
梁,梁,지역
魯,魯,지역
朝鮮,朝鮮,지역
洌水,洌水,지역
平原,平原,지역
東齊,東齊,지역
海岱,海岱,지역
邠,邠,지역
唐,唐,지역
冀,冀,지역
兗,兗,지역
南楚,南楚,지역
江湘,江湘,지역
江淮,江淮,지역
陶,陶,지역
豫,豫,지역
陳兗之會,陳兗之會,지역
荊,荊,지역
吳,吳,지역
大野,大野,지역
益,益,지역
淮汭,淮汭,지역
周南,周南,지역
召南,召南,지역
西甌,西甌,지역
毒屋,毒屋,지역
黃石,黃石,지역
揚,揚,지역
甌,甌,지역
中齊,中齊,지역
西楚,西楚,지역
周,周,지역
雍,雍,지역
青州,青州,지역
幽州,幽州,지역
自關而西,自關而西,지역
自關而東,自關而東,지역
徐,徐,지역
楚部,楚部,지역
南楚之外,南楚之外,지역
秦晉之際,秦晉之際,지역
河陰,河陰,지역
